system:index,LST_celsius,NDMI,NDVI,date,district,is_complete_month,month,rainfall_mm,sentinel_image_count,year,.geo,NDVI_hist_mean,NDVI_hist_std,NDVI_zscore
0,31.29931741912433,0.0111452172224169,0.3228662383818048,2019-01,Pune_Baramati,1,1.0,0.0007179549215499116,53,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3469626313519308,0.020366095229241037,-1.1831621476231298
1,35.701050830265885,-0.017381930355299,0.2900047559463604,2019-02,Pune_Baramati,1,2.0,0.0539617669861789,48,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3350789296740247,0.02361305689428185,-1.9088665194627765
2,42.56800743366793,-0.0360574504527984,0.263571513131203,2019-03,Pune_Baramati,1,3.0,0.0,66,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2765996414685692,0.02798377527801224,-0.4655600685731221
3,45.44401465604473,-0.0504247039401789,0.2520500098738545,2019-04,Pune_Baramati,1,4.0,7.421452857259333,55,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2650395004903309,0.025998839312470167,-0.49961809680657926
4,45.22699903493918,-0.0393387016511828,0.2430105155157624,2019-05,Pune_Baramati,1,5.0,0.1036993480677814,55,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2679532831415513,0.030702566407763168,-0.8124000871628154
5,38.83682130305392,-0.0360597166908954,0.1843272959486477,2019-06,Pune_Baramati,1,6.0,164.72106523474775,57,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.24845134741723832,0.082154023648494,-0.7805345206578462
6,32.46441580145481,0.0703021870046697,0.3236074507926658,2019-07,Pune_Baramati,1,7.0,345.3969307184776,56,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2456397907400507,0.15871660939864818,0.49123819081079195
7,30.8959396747745,0.1141187863546043,0.3700390563305765,2019-08,Pune_Baramati,1,8.0,129.05747355161623,57,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.278281539074985,0.13700079195920506,0.6697590279836797
8,31.120673280337407,0.1126269374811822,0.4031943425625997,2019-09,Pune_Baramati,1,9.0,334.609965725404,55,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3385222687634342,0.12129138559666672,0.5331959353999065
9,29.13823870012824,0.1526966634697915,0.4653656558980368,2019-10,Pune_Baramati,1,10.0,196.96988998746585,51,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4421638576614109,0.08632580639655728,0.2687701303367284
10,29.557815434076385,0.1223271899244771,0.4586642283499938,2019-11,Pune_Baramati,1,11.0,40.17335842176219,58,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4209936525107268,0.07401388483990923,0.5089663367994781
11,29.185837170253595,0.0564822969918517,0.4008748282583387,2019-12,Pune_Baramati,1,12.0,3.081531453843682,69,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3989519857628239,0.019853132360309975,0.09685335596507119
12,29.55416050796756,0.0288418112345655,0.3584518551557215,2020-01,Pune_Baramati,1,1.0,0.0007179564108534529,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3469626313519308,0.020366095229241037,0.564134836573621
13,33.59178857569246,-0.004822178944817,0.3294854672761124,2020-02,Pune_Baramati,1,2.0,0.080520997584528,65,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3350789296740247,0.02361305689428185,-0.23688006271084805
14,38.73524833563554,-0.024665474545794,0.3018154118347091,2020-03,Pune_Baramati,1,3.0,1.2263638082895194,56,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2765996414685692,0.02798377527801224,0.9010853652027706
15,43.45433814711053,-0.0375614088933873,0.2944012333682496,2020-04,Pune_Baramati,1,4.0,9.645923248940592,57,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2650395004903309,0.025998839312470167,1.1293478345333479
16,42.56795256514975,-0.0235865437313077,0.2933497939309125,2020-05,Pune_Baramati,1,5.0,16.231033708038122,50,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2679532831415513,0.030702566407763168,0.8271787593280685
17,33.165028981520706,0.0705439483474025,0.3261568719154847,2020-06,Pune_Baramati,1,6.0,275.0635840998798,54,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.24845134741723832,0.082154023648494,0.945851719091921
18,29.11930821904667,0.1196252052905109,0.3723871711402303,2020-07,Pune_Baramati,1,7.0,283.0214835898876,58,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2456397907400507,0.15871660939864818,0.7985766636548318
19,29.466439077897327,0.1617706125754798,0.391408689597168,2020-08,Pune_Baramati,1,8.0,191.63302328727843,54,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.278281539074985,0.13700079195920506,0.8257408508694539
20,31.460806574154372,0.1445484054969712,0.4393473456912525,2020-09,Pune_Baramati,1,9.0,332.9063709126156,54,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3385222687634342,0.12129138559666672,0.8312632956729049
21,30.50590293479114,0.1370530668276391,0.4717200974289899,2020-10,Pune_Baramati,1,10.0,213.9588715706765,62,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4421638576614109,0.08632580639655728,0.3423801178503408
22,30.78517351725125,0.0818626247863773,0.4552976536599813,2020-11,Pune_Baramati,1,11.0,6.805287453219898,53,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4209936525107268,0.07401388483990923,0.46348061885217207
23,29.70273123558665,0.0335878876572941,0.4048007521415543,2020-12,Pune_Baramati,1,12.0,8.032336963137402,58,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3989519857628239,0.019853132360309975,0.2946016916918931
24,30.68163724507809,0.0160994965711063,0.3400604447224731,2021-01,Pune_Baramati,1,1.0,1.6574122025784923,56,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3469626313519308,0.020366095229241037,-0.33890574269473756
25,33.77385310328215,-0.0115424096809669,0.353718558074572,2021-02,Pune_Baramati,1,2.0,0.0828573691828152,54,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3350789296740247,0.02361305689428185,0.7893780328400032
26,39.72603177595294,-0.0334357267527737,0.2980126792655202,2021-03,Pune_Baramati,1,3.0,0.0093630240695987,54,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2765996414685692,0.02798377527801224,0.7651947453200122
27,41.24443362923819,-0.0398022462379157,0.280399222560746,2021-04,Pune_Baramati,1,4.0,17.01342227722938,56,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2650395004903309,0.025998839312470167,0.590784914888408
28,39.04078903754885,-0.0237578621107408,0.2848979019240337,2021-05,Pune_Baramati,1,5.0,73.57185232268094,60,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2679532831415513,0.030702566407763168,0.551895843410599
29,31.096197866941317,0.0622142843740051,0.3393413058977328,2021-06,Pune_Baramati,1,6.0,143.0142021748259,61,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.24845134741723832,0.082154023648494,1.1063360556675623
30,34.0683199317683,0.127140627433574,0.3900070375797094,2021-07,Pune_Baramati,1,7.0,272.6169116936892,63,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2456397907400507,0.15871660939864818,0.9095912985203191
31,31.613203012987764,0.1225135506566358,0.3264817961755822,2021-08,Pune_Baramati,1,8.0,143.40962668178557,62,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.278281539074985,0.13700079195920506,0.35182466036364146
32,30.271071575793048,0.1052411311420353,0.3425232813203717,2021-09,Pune_Baramati,1,9.0,222.86827917872355,56,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3385222687634342,0.12129138559666672,0.03298678250937073
33,31.097655148724773,0.1294238436996398,0.4962531316939018,2021-10,Pune_Baramati,1,10.0,99.05512800496604,62,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4421638576614109,0.08632580639655728,0.6265713150019062
34,29.5182644572213,0.0909566866855144,0.3924657809136581,2021-11,Pune_Baramati,1,11.0,44.53753673486112,54,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4209936525107268,0.07401388483990923,-0.3854394571879859
35,27.62157473377069,0.0664687076389086,0.4237313782332912,2021-12,Pune_Baramati,1,12.0,28.83265138659363,62,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3989519857628239,0.019853132360309975,1.2481351567476477
