system:index,LST_celsius,NDMI,NDVI,date,district,is_complete_month,month,rainfall_mm,sentinel_image_count,year,.geo
0,35.19913748265693,-0.020719113820377732,0.24916005961333,2019-01,Bid,1,1.0,0.027058711504624532,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,40.117342915007136,-0.04839509519372578,0.2011976580178494,2019-02,Bid,1,2.0,0.03244225460878979,58,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,47.56725707066145,-0.06106062903511064,0.17864858712487564,2019-03,Bid,1,3.0,0.4476443472073574,66,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,51.37885617390749,-0.07998914170172465,0.16477551543717267,2019-04,Bid,1,4.0,10.215657542105635,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,50.10796535491537,-0.07585215787096226,0.13944355608098463,2019-05,Bid,1,5.0,3.441474986332775,62,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,44.47476616562276,-0.08452501168972139,0.10688644547608094,2019-06,Bid,1,6.0,117.7902000404746,62,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,40.63074163379112,0.009167404120778816,0.20738042888207572,2019-07,Bid,1,7.0,171.29807954348743,64,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,35.5426564402922,0.11199786216178663,0.37824567804279746,2019-08,Bid,1,8.0,97.02938011196598,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,32.22948661893372,0.1595417029645548,0.4687768983612196,2019-09,Bid,1,9.0,269.4779139103599,56,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,31.99400362402596,0.14766847865639463,0.43227012962340566,2019-10,Bid,1,10.0,216.25903431177176,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,31.67169982228993,0.11815161746228058,0.48484054077943917,2019-11,Bid,1,11.0,24.624714901306135,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,29.6386434796687,0.09429190453587354,0.3917571162521023,2019-12,Bid,1,12.0,3.9282437820126406,67,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,30.79404248716915,0.050076715719434124,0.3894742534327984,2020-01,Bid,1,1.0,0.07169444755517634,64,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,35.5056168754403,0.0038853789674575517,0.31468557625079024,2020-02,Bid,1,2.0,0.0,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,42.024190638044736,-0.0379132109808048,0.26160608471537367,2020-03,Bid,1,3.0,6.629897318811858,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,48.46597622364681,-0.06844580823811432,0.22743974792998656,2020-04,Bid,1,4.0,6.511114092074903,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,47.2172226541136,-0.07014248934886376,0.17876763923274855,2020-05,Bid,1,5.0,20.623830905314705,58,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,38.7315575413636,-0.007195086801581133,0.21310923432367293,2020-06,Bid,1,6.0,212.4512533275096,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,31.619309346107382,0.08282314872335747,0.32318892054559006,2020-07,Bid,1,7.0,173.63928061131526,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,30.288348986505106,0.1985326650505853,0.5110781779095586,2020-08,Bid,1,8.0,108.1987787481471,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,31.264817553607106,0.17839438592603363,0.511212640329316,2020-09,Bid,1,9.0,288.324450550405,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,32.41760866195533,0.11972266414076456,0.43634331708152896,2020-10,Bid,1,10.0,148.6321908067801,62,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,32.1870388706329,0.09874161675511765,0.47161434328080587,2020-11,Bid,1,11.0,5.81235079330317,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,31.04182843304509,0.06728077075376675,0.43478197667112717,2020-12,Bid,1,12.0,2.7174779422703357,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,31.727973025825456,0.03881713558318369,0.36151153973028355,2021-01,Bid,1,1.0,1.0804362033688417,70,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,35.87306591932156,0.007730953519516291,0.327635241691631,2021-02,Bid,1,2.0,0.02580064564534956,56,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,42.31783942732783,-0.029998793453599203,0.2586367034769658,2021-03,Bid,1,3.0,0.0,60,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,45.031497931633304,-0.05446416046564975,0.2279359913528374,2021-04,Bid,1,4.0,13.571817699552188,59,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,43.56196755404665,-0.061808499223165364,0.193232355068343,2021-05,Bid,1,5.0,63.58914398650156,64,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
