system:index,LST_celsius,NDMI,NDVI,date,district,is_complete_month,month,rainfall_mm,sentinel_image_count,year,.geo
0,30.560166333308135,0.022532934284987503,0.4234074361437869,2019-01,Kolhapur,1,1.0,0.06149918732828572,30,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,35.000927109319356,-0.009634020687801254,0.39081791070268407,2019-02,Kolhapur,1,2.0,0.003548044018102797,27,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,39.34078097649889,-0.010124443703870625,0.37670246366863924,2019-03,Kolhapur,1,3.0,3.663170896346754,35,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,41.16980858722291,0.009032186353258677,0.40817442671057613,2019-04,Kolhapur,1,4.0,24.99891704389935,30,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,39.47466423447175,0.041067390011386276,0.4330902645650493,2019-05,Kolhapur,1,5.0,16.372592090655804,30,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,33.66783480122903,0.07784393561919144,0.31416848350007603,2019-06,Kolhapur,1,6.0,398.3959788384196,30,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,27.967577283470746,0.1888141540870015,0.40123609415603256,2019-07,Kolhapur,1,7.0,454.19140556485286,30,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,27.77301959746896,0.18731923550477153,0.49232525418722006,2019-08,Kolhapur,1,8.0,269.44421705052514,30,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,28.85624677621763,0.18921047677952693,0.521528221898098,2019-09,Kolhapur,1,9.0,266.69520695544236,33,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,27.08675367149671,0.1945369696026424,0.5339576737997683,2019-10,Kolhapur,1,10.0,290.2849555662345,32,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,28.764241676710622,0.1588070156298073,0.5207536138803559,2019-11,Kolhapur,1,11.0,27.04750011776404,30,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,29.064799577996958,0.06479798075624871,0.5045406676238631,2019-12,Kolhapur,1,12.0,5.571178542678062,35,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,30.077669175123223,0.016328477264666786,0.4258968423578956,2020-01,Kolhapur,1,1.0,0.062094511809282334,30,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,33.40155633930337,-0.011297655569996788,0.37519251755191707,2020-02,Kolhapur,1,2.0,0.0,30,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,37.949044830463194,-0.016369222223004746,0.3882246083257588,2020-03,Kolhapur,1,3.0,4.272509347617231,32,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,38.76477853338522,0.014024976519346482,0.41763795615498284,2020-04,Kolhapur,1,4.0,36.25029304481157,30,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,36.89820116339413,0.06610459445629809,0.47086125608357626,2020-05,Kolhapur,1,5.0,42.95164451343295,25,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,29.888499548829508,0.1450100056526928,0.43069598740014214,2020-06,Kolhapur,1,6.0,475.52470910665375,30,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,25.358233338582995,0.20863829289178892,0.36680903290827827,2020-07,Kolhapur,1,7.0,389.3792457051479,30,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,28.4961391125463,0.2235879618678205,0.5382477956819942,2020-08,Kolhapur,1,8.0,304.3247412352971,32,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,28.98497840498959,0.20012723501078866,0.523238874668055,2020-09,Kolhapur,1,9.0,321.5048230669738,30,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,29.30805774944647,0.18291944774171343,0.519022069259789,2020-10,Kolhapur,1,10.0,184.8774340188196,35,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,28.97030517754815,0.11622114774102975,0.5786454793790788,2020-11,Kolhapur,1,11.0,7.914199899474588,30,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,29.09656929640918,0.0419238261673484,0.49484396488461924,2020-12,Kolhapur,1,12.0,4.897275761815917,32,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,30.580660503774503,0.012034735893720814,0.4385998315108127,2021-01,Kolhapur,1,1.0,3.1762948335567556,30,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,33.324412312109864,6.026689439902501E-4,0.4024804228549964,2021-02,Kolhapur,1,2.0,3.816915287012642E-4,30,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,38.104122609667556,-0.014856953886403356,0.38219726691625394,2021-03,Kolhapur,1,3.0,1.1352718909824357,30,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,36.74303478634478,0.023068564202069906,0.4373307950209874,2021-04,Kolhapur,1,4.0,37.01566437379974,30,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,34.09712026283747,0.08782013877652306,0.4492452458889217,2021-05,Kolhapur,1,5.0,208.41839822701772,30,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,28.346259456139034,0.1560577677018976,0.4081751180261102,2021-06,Kolhapur,1,6.0,299.2681384304086,30,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,26.764350039258865,0.21465898005525444,0.4620707172251991,2021-07,Kolhapur,1,7.0,709.30831198397,30,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,29.14696948000532,0.19342555586356308,0.45968562245179145,2021-08,Kolhapur,1,8.0,144.6446027293313,30,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,27.772756058918972,0.18290195499350434,0.4717163733443661,2021-09,Kolhapur,1,9.0,126.34383979086914,29,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,29.344282186672704,0.16944759793544806,0.5643527927503793,2021-10,Kolhapur,1,10.0,105.48564710731813,37,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,27.72068587387025,0.11776431924349318,0.511829729114182,2021-11,Kolhapur,1,11.0,105.74699856551084,30,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,27.256829377367993,0.09226721336623278,0.5167914916316539,2021-12,Kolhapur,1,12.0,29.19036758285367,30,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,28.2111757391595,0.028272630088546566,0.4530353689010547,2022-01,Kolhapur,1,1.0,0.07530423624368206,30,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,33.43464944893865,-0.013954495815626189,0.4192688302842914,2022-02,Kolhapur,1,2.0,0.0,30,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
